CRIM,INDUS,CHAS,NOX,RM,AGE,TAX,PTRATIO,MEDV
0.00632,2.31,0,0.538,6,65.2,296,15.3,24.0
0.02731,7.07,0,0.469,6,78.9,242,17.8,21.6
0.02729,7.07,0,0.469,7,61.1,242,17.8,34.7
0.03237,2.18,0,0.458,6,45.8,222,18.7,33.4
0.06905,2.18,0,0.458,7,54.2,222,18.7,36.2
0.02985,2.18,0,0.458,6,58.7,222,18.7,28.7
0.08829,7.87,0,0.524,6,66.6,311,15.2,22.9
0.14455,7.87,0,0.524,6,96.1,311,15.2,22.1
0.21124,7.87,0,0.524,5,100.0,311,15.2,16.5
0.17004,7.87,0,0.524,6,85.9,311,15.2,18.9
0.22489,7.87,0,0.524,6,94.3,311,15.2,15.0
0.11747,7.87,0,0.524,6,82.9,311,15.2,18.9
0.09378,7.87,0,0.524,5,39.0,311,15.2,21.7
0.62976,8.14,0,0.538,5,61.8,307,21.0,20.4
0.63796,8.14,0,0.538,6,84.5,307,21.0,18.2
0.62739,8.14,0,0.538,5,56.5,307,21.0,19.9
1.05393,8.14,0,0.538,5,29.3,307,21.0,23.1
0.7842,8.14,0,0.538,5,81.7,307,21.0,17.5
0.80271,8.14,0,0.538,5,36.6,307,21.0,20.2
0.7258,8.14,0,0.538,5,69.5,307,21.0,18.2
1.25179,8.14,0,0.538,5,98.1,307,21.0,13.6
0.85204,8.14,0,0.538,5,89.2,307,21.0,19.6
1.23247,8.14,0,0.538,6,91.7,307,21.0,15.2
0.98843,8.14,0,0.538,5,100.0,307,21.0,14.5
0.75026,8.14,0,0.538,5,94.1,307,21.0,15.6
0.84054,8.14,0,0.538,5,85.7,307,21.0,13.9
0.67191,8.14,0,0.538,5,90.3,307,21.0,16.6
0.95577,8.14,0,0.538,6,88.8,307,21.0,14.8
0.77299,8.14,0,0.538,6,94.4,307,21.0,18.4
1.00245,8.14,0,0.538,6,87.3,307,21.0,21.0
1.13081,8.14,0,0.538,5,94.1,307,21.0,12.7
1.35472,8.14,0,0.538,6,100.0,307,21.0,14.5
1.38799,8.14,0,0.538,5,82.0,307,21.0,13.2
1.15172,8.14,0,0.538,5,95.0,307,21.0,13.1
1.61282,8.14,0,0.538,6,96.9,307,21.0,13.5
0.06417,5.96,0,0.499,5,68.2,279,19.2,18.9
0.09744,5.96,0,0.499,5,61.4,279,19.2,20.0
0.08014,5.96,0,0.499,5,41.5,279,19.2,21.0
0.17505,5.96,0,0.499,5,30.2,279,19.2,24.2
0.02763,2.95,0,0.428,6,21.8,252,18.3,30.8
0.03359,2.95,0,0.428,7,15.8,252,18.3,34.9
0.12744,6.91,0,0.448,6,2.9,233,17.9,26.6
0.1415,6.91,0,0.448,6,6.6,233,17.9,25.3
0.15936,6.91,0,0.448,6,6.5,233,17.9,24.7
0.12269,6.91,0,0.448,6,40.0,233,17.9,21.2
0.17142,6.91,0,0.448,5,33.8,233,17.9,19.3
0.18836,6.91,0,0.448,5,33.3,233,17.9,20.0
0.22927,6.91,0,0.448,6,85.5,233,17.9,16.6
0.25387,6.91,0,0.448,5,95.3,233,17.9,14.4
0.21977,6.91,0,0.448,5,62.0,233,17.9,19.4
0.08873,5.64,0,0.439,5,45.7,243,16.8,19.7
0.04337,5.64,0,0.439,6,63.0,243,16.8,20.5
0.0536,5.64,0,0.439,6,21.1,243,16.8,25.0
0.04981,5.64,0,0.439,5,21.4,243,16.8,23.4
0.0136,4.0,0,0.41,5,47.6,469,21.1,18.9
0.01311,1.22,0,0.403,7,21.9,226,17.9,35.4
0.02055,0.74,0,0.41,6,35.7,313,17.3,24.7
0.01432,1.32,0,0.411,6,40.5,256,15.1,31.6
0.15445,5.13,0,0.453,6,29.2,284,19.7,23.3
